word,variant_forms,abreviaturas,translation_value
kuchi,['lumukuči'],['s'],amz.
llachapa,"['lyačapa', 'žačapa']",['s'],"trapos, pañal, remiendo."
llachapana,"['lyačapana', 'žačapana']",['v'],s.
llachu,"['lyaču', 'žaču']",['s'],azadón.
llaki,"['lyaki', 'žaki']",['s'],"dolor, sufrimiento, pena, amargura, desventura, problema, accidente, lástima."
llakina,"['lyakina', 'žakina']",['v'],"sufrir, lamentar, apenar, tener pena."
llakinayak,"['lyakinayax', 'lyakinay', 'žakinayax', 'žakinay']",['adv'],expresión de lástima.
llakirina,"['lyakirina', 'žakirina']",['v'],"entristecerse, afligirse, tener pena, apenarse."
llakllana,"['lyaklyana', 'žaxlyana', 'žagžana']",['s'],amz.
llaktana,"['lyaxtana', 'žaxtana', 'žagtana']",['v'],s.
llakwarina,['lyakwarina'],['v'],almorzar.
llama,"['lyama', 'žama']",['s'],"camélido andino,   llama; borrego."
llaminku,"['lyamiŋgu', 'žamiŋgu']",['s'],s.
llamkana,"['lyamkana', 'lyaŋkana', 'žaŋgana', 'lyaŋgana', 'žaŋkana']",['v'],trabajar.
llampu,"['lyambu', 'žambu']",['adv'],"totalidad, todos."
llampuna,"['lyaŋbuna', 'žaŋbuna']",['v'],"cepillar, li- mar, pulir."
llantu,"['lyaŋdu', 'žaŋdu']",['s'],sombra.
llapina,"['lyapina', 'žapina']",['v'],aplastar.
llapitukuna,"['lyapitukuna', 'žapitukuna']",['v'],tener pesadillas.
llashak,"['lyšax', 'žašax', 'žašag']",['adj'],pesado.
llashana,"['lyašana', 'žašana']",['v'],pesar.
llatan,"['lyataŋ', 'žataŋ']",['adj'],desnudo.
llatanana,"['lyatanana', 'žatanana']",['v'],"desves- tirse, desnudarse."
llawana,"['lyawana', 'žawana', 'lyawkana']",['v'],"sc, amz."
llawsa,"['lyawsa', 'žawsa']",['s'],savia de las plan- tas; baba.
llawtu,"['lyawtu', 'lyaytu', 'žawtu']",['s'],"corona, dia- dema."
llikina,"['lyikina', 'žikina']",['v'],"romper, rasgar."
llikuy,['lyikuy'],['s'],amz.
llimpi,"['lyimpi', 'žimpi']",['adv'],pa.
