word,variant_forms,abreviaturas,translation_value
llimpina,['lyimpina'],['v'],pintar.
llipinshi,['lypinši'],['s'],pa.
lluchka,"['lyučka', 'lyuča', 'lyuška', 'žučka', 'žuška']",['adj'],resbaloso.
lluchkana,"['lyuškana', 'lyučkana', 'žuškana', 'žučkana']",['v'],"resbalar, deslizar."
lluchu,"['lyuču', 'žuču']",['adj'],"desnudo, pobre."
lluchuna,"['lyučuna', 'žučuna']",['v'],"pelar, despe- llejar por completo."
lluchunka,"['lyučuŋga', 'lyučuna']",['s'],amz.
llukana,"['lyukana', 'žukana']",['v'],gatear.
lluki,"['lyuki', 'žuki']",['adj'],"izquierdo, zurdo."
llukllu,['lyuklyu'],['s'],grillo.
llukshichina,"['lyuxšičina', 'lyuxčina', 'žuxšičina', 'žuxčičina', 'žugčina']",['v'],sacar.
llukshina,"['lyušina', 'žuxšina', 'žugšina']",['v'],salir.
llulla,"['lyulya', 'žuža']",['adj'],"mentiroso, falso."
llullana,"['lyulyana', 'žužana']",['v'],"mentir, falsear."
llullu,"['lyulyu', 'žužu']",['adj'],"tierno, blando."
llulluk,"['lyulyux', 'lyulyu']",['s'],amz.
llumi,"['lyumi', 'žumi']",['adj'],s.
llunchina,"['žuŋčina', 'žunžina']",['v'],snc.
lluru,"['lyuru', 'žuru', 'zuru']",['adj'],amz.
llushpina,"['lyušpina', 'žušpina']",['v'],"resbalarse, deslizarse."
llushti,"['lyušti', 'žušti']",['adj'],ss.
llushtina,"['lyuština', 'žuština']",['v'],pelar.
llutana,"['lyutana', 'žutana']",['v'],pegar con subs- tancias adherentes.
llutarina,['lyutarina'],['v'],"acercarse, apegarse."
llutipa,['lyutipa'],['s'],pa.
lluya,['lyuya'],['s'],na.
lunchik,['luŋčik'],['s'],amz.
lunkuchina,['luŋkučina'],['v'],amz.
luntsa,['luŋtsa'],['s'],s.
lupi,['lupi'],['s'],amz.
lutsana,['lutsana'],['v'],estrujar; chupar.
lutsu,['lutsu'],['det'],sc.
machakuy,"['mačakuy', 'mačakway']",['s'],"ser- piente, culebra."
machana,['mačana'],['s'],borrachera.
machay,"['mačay', 'mači', 'matsi']",['s'],scs.
machin,['mačin'],['s'],amz.
machu,['maču'],['s'],amz.
makana,['makana'],['s'],chalina a colores.
maki,['maki'],['s'],"mano, antebrazo."
makiwatana,['makiwatana'],['s'],"pulsera, manillas."
mallik,"['malyix', 'mažix']",['adj'],snc.
mallki,"['malyki', 'malki', 'mažki']",['s'],s.
mallta,"['malyta', 'malta']",['adj'],mediano.
mama,['mama'],['s'],"mamá, madre, señora; doña, matrona."
mamakucha,['mamakuča'],['s'],"mar, océano."
mamallakta,['mamažakta'],['s'],"país, patria, nación."
mamallaw,['mamažau'],['interj'],pi.
mamapuzun,"['mamapuzun', 'mama uspun']",['s'],estómago.
mana,"['mana', 'na']",['adv'],no.
manapipash,"['manapipaš', 'manapiš', 'man- apiwas', 'manapi', 'nipipaš']",['det'],s.
manarak,['manarax'],['adv'],todavía no.
manchana,"['mančana', 'manžana']",['v'],"tener miedo, espantarse, asustarse, atemorizarse, temer."
manchanayana,"['mančanayay', 'manžana- yay', 'mančanay']",['s'],"miedo, espanto, susto."
manchariy,['mančariy'],['s'],"espanto, susto, miedo."
manchu,['manču'],['s'],amz.
manka,"['manka', 'maŋga']",['s'],olla.
manku,['maŋgu'],['s'],amz.
mantana,['mandana'],['v'],"tender, extender."
manya,"['manya', 'mayan', 'manña']",['s'],"orilla, borde, filo."
manyayana,"['manyayana', 'manñayana']",['v'],s.
maña,['maña'],['s'],amz.
mañana,['mañana'],['v'],"pedir, solicitar, pedir prestado."
mañayachina,['mañayačina'],['v'],amz.
