word,variant_forms,abreviaturas,translation_value
pani,['pani'],"['na.', 's', 's.']",de hermano a hermana.
pankalla,['paŋgalya'],['adj'],"ágil, veloz, liviano."
panshi,"['paŋši', 'paŋsi']","['amz.', 'na.', 's', 's.']",rmazón de palos pequeños colocados dentro de la olla para cocinar.
pantana,['pandana'],['v'],"errar, equivocar, confundir."
panti,['paŋti'],"['s', 's.']",yerba para teñir.
pantu,['paŋdu'],"['amz.', 's']","animal denominado “cabeza de mate”, similar al tigre."
panwa,"['paŋwa', 'paŋgua']","['amz.', 's', 's.']",trampa de cacería para animales pequeños.
paña,['paña'],"['amz.', 's']",piraña.
paña,['paña'],['adv'],lado derecho.
papa,['papa'],['s'],"papa, patata."
paparawa,['paparawa'],"['amz.', 's', 's.', 'v.']",árbol de fru- tos comestibles.
parawaku,['parawaku'],"['amz.', 's']",variedad de mono.
parkuna,"['parkuna', 'parkona']","['gua.', 'na.', 's.', 'ss.', 'v']",regar o esparcir agua.
paruk,['paruk'],['s'],pulmón.
paskana,['paskana'],"['na.', 'v']","brir, despegar."
pasña,['pasña'],['s'],"adolescente, muchacha, mozuela."
paspa,['paspa'],"['pa.', 's', 'v.']",spa.
pasu,['pasu'],"['amz.', 's', 's.']",tipo de árbol de frutos comestibles.
pata,['pata'],['s'],"grada, orilla."
patak,"['phatax', 'phatix']","['adj', 'na.']",cho.
pataku,['pataku'],['s'],mesa; altar.
patara,['patara'],"['na.', 's']","hoja, página."
patarina,['patarina'],"['na.', 'v']","doblar, plegar."
patas,['patas'],"['amz.', 'co.', 's']",blanco.
pati,"['pati', 'badi']","['s', 's.', 'ss.']",bolso.
patpa,['patpa'],"['s', 's.']",pluma.
patpana,['patpana'],"['na.', 's.', 'v']",cudir las aves sus plumas.
patsak,"['patsak', 'patsya', 'batsak']","['co.', 's']",baga- zo.
patsak,"['pačak', 'patsax', 'patsak', 'patsag', 'pasak']","['na.', 'num', 's.', 'v.']","cien, ciento."
pawshi,['pawši'],"['amz.', 's']",pava de monte de- nominada “paujil”; ganzo.
pay,['pay'],['pron'],"él, ella."
paya,['paya'],"['adj', 's.']",vieja; abuela.
payaku,['payagu'],"['amz.', 'exp']",expresión para referirse a la hija apreciada.
paychi,"['payči', 'paysi', 'payši']","['amz.', 'na.', 's', 's.']",una va- riedad de pez.
paykuna,['paykuna'],"['pron', 's.']","ellos, ellas."
paza,['paza'],"['adj', 'co.']","áspero, escabroso, tosco."
pi,['pi'],['pron'],¿quién?.
pichana,"['fičana', 'pičana', 'phičana']","['co.', 'num.', 'or.', 's', 'v.']","escoba, borrador."
piki,['piki'],"['amz.', 'gua.', 's']",pulga.
pilis,"['pilis', 'pigli']","['amz.', 'co.', 'na.', 's', 's.']",piojo blanco.
pillchi,"['pilyči', 'pilči']","['amz.', 'co.', 's']",recipiente de la cás- cara del coco.
pilluna,"['pilyuna', 'pižuna']","['na.', 'v']","enrollar, envol- ver, enredar."
pillpintu,"['pilypiŋtu', 'piŋpilyitu', 'pimpillitu pil- piŋdi']",['s'],mariposa.
pimpirana,['piŋpirana'],"['amz.', 'na.', 'v']",pestañar.
pimpis,"['pimpis', 'piŋpis']","['amz.', 's', 's.']",leta de pez.
pinchi,['pinči'],"['amz.', 'lo.', 's']",canelo.
pinkala,['piŋgala'],"['amz.', 'ca.', 's']",osca grande que no pica.
pinkay,['piŋgay'],"['lo.', 'pi.', 's', 's.', 'v.']","ergüenza, rubor, recelo."
pinllu,"['piŋlyu', 'pinžu']",['s'],lechero.
pintu,['piŋtu'],"['s', 's.']",tela.
pintuk,"['piŋtuk', 'pintu']","['amz.', 'na.', 's']",caña brava.
piña,"['fiña', 'piña', 'phiña']",['adj'],"bravo, furioso."
piñarina,"['fiñarina', 'piñarina', 'phiñarina']","['na.', 'v']","re- sentirse, enojarse, encapricharse."
piñana,"['fiñana', 'piñana', 'phiñana']","['na.', 'v']","enojar, disgustar, encolerizar alterar."
pircha,['pirča'],"['amz.', 'bo.', 's', 's.', 'tu.']",cardo.
piripiri,['piripiri'],"['amz.', 'ca.', 's', 's.']",eremonial para la lluvia y como talismán en la caza y pesca.
piruru,['piruru'],"['co.', 'na.', 's', 'sn.']","tortero para hilar, disco."
piruru,['piruru'],"['adv.', 'amz.', 's', 'v.']",tipo de pez.
pishiyana,['pišiyana'],"['na.', 'v']",escasear.
pishku,"['pišku', 'pisku', 'piško']","['chi.', 'na.', 's']","ve, pájaro."
pishña,['pišña'],"['amz.', 's']",nutria.
pitakaya,['pitakaya'],"['amz.', 's']",tipo de fruta.
pitalala,['pitalala'],"['amz.', 's']",culebra “x”.
piti,['piti'],['det'],Mana achka.
pitirina,"['fitirina', 'pitirina', 'phitirina']","['na.', 'v']","expirar, morir."
pitita,['pitita'],['s'],"departamento, alcoba."
pitina,"['fitina', 'pitina', 'phitina']","['na.', 'v']","cortar, romper en pedazos pequeños; deshojar."
pitsik,['pitsik'],['s'],planta silvestre proliferante.
pitun,['pituŋ'],"['amz.', 's', 's.', 'v.']",árbol de frutos comes- tible y medicinal.
puchu,['puču'],"['adj', 'co.', 'na.']","sobra, resto."
puchukay,['pučukay'],"['adv', 'pa.']",último.
puchukana,['pučukana'],['v'],"acabar, con- cluir."
puchul,"['pučul', 'fučul']","['s', 's.', 'sc.']",Vainas trilladas luego de sacar los granos.
puchuna,['pučuna'],"['pa.', 'v']",sobrar.
puka,['puka'],"['adj', 's.']",rojo.
pukla,['pugla'],"['amz.', 'lo.', 's']",banillo.
pukllana,"['puglyana', 'pugžana']","['na.', 'v']",jugar.
pukru,"['pukru', 'pugro']","['pa.', 's']",hondonada.
pukshi,['puxši'],"['na.', 's', 's.', 'ss.']",cal.
puku,['phuku'],"['na.', 'pi.', 's', 's.']",lato de madera.
pukuy,['phukuy'],['s'],soplo de curación.
pukuna,"['phukuna', 'pokona']",['v'],madurar.
pukyu,['pukyu'],['s'],"vertiente, pozo, manantial."
pulak,['phulax'],"['s', 's.']",cs.
pulanti,['bulandi'],"['amz.', 'co.', 's']",variedad de be- juco.
pullu,['pulyu'],"['amz.', 'co.', 'pi.', 's', 's.', 'v.', 'za.']",tronco seco.
puma,['puma'],"['amz.', 's']","Tigre, puma."
puna,['puna'],"['s', 's.']","ierra, cordillera; altiplano."
puncha,"['puŋča', 'punža', 'punša', 'punlya']","['s', 's.']",día.
punchantin,"['puŋžandiŋ', 'puŋčandiŋ']","['adv', 'amz.']","diariamente, a diario."
punkara,['puŋgara'],"['amz.', 's']",tipo de fruta.
punkina,"['puŋgina', 'phuŋgina', 'fuŋgina']","['na.', 'v']","hin- charse, inflarse."
punku,"['punku', 'puŋgu']",['s'],"puerta, entrada."
punsa,"['phunza', 'punsa']","['bo.', 'co.', 's']",harco.
puntu,['fuŋdu'],"['adj.', 'amz.', 'na.', 's', 's.', 'sc.', 'sn.']","vasija, pondo."
punzuyana,"['puŋzuyana', 'puntsuyana']","['amz.', 'v']",erizarse.
puñu,"['puñu', 'puyñu']","['s', 's.', 'v.']",cántaro de una oreja; pondo.
purina,['purina'],"['amz.', 'na.', 'v']","caminar, andar."
puru,['puru'],"['amz.', 'na.', 's']",tutuma.
purun,"['purun', 'purum']","['adj', 'adj.', 'co.', 'pa.']","silvestre, rústico."
purun,"['purun', 'purum']","['s.', 'sc']",planta silvestre.
purutu,['purutu'],"['num.', 's']",fréjol.
pusayu,['pusayu'],"['amz.', 's']",tipo de pájaro.
pushak,"['pušax', 'pušak', 'pušag', 'puša']",['s'],"di- rigente, líder, presidente, gobernante."
pushana,['pušana'],"['na.', 'v']","guiar, dirigir, conducir."
pushinshi,['pušiŋši'],"['amz.', 's', 's.']",hormiga conga.
pusku,"['pusku', 'putsuxu']",['s'],"espuma; fer- mento, levadura."
puskuna,['puskuna'],"['pi.', 's.', 'v', 'v.', 'za.']",hacer espuma.
putasyana,"['putasyana', 'putusyana']","['amz.', 'na.', 'v']","sc, amz."
putsa,['phutsa'],"['bo.', 'na.', 's', 'sc.']",racimo pequeño.
putsu,['putsu'],"['adj.', 'co.', 'na.', 's', 's.', 'sn.']",hierba espinosa.
putu,['putu'],"['amz.', 'bo.', 's']",ceibo.
putukulu,['putukulu'],"['amz.', 's', 'tu.']",renacuajo.
puy,['puy'],"['amz.', 's', 'tu.']",variedad de sapo.
puyu,"['puyu', 'phuyu', 'fuyu']","['na.', 's']","ube, niebla, ne- blina."
puzu,"['puzu', 'pusu']","['adj', 'adj.', 's.']","color gris, blanco y negro jaspeado."
puzun,"['pusun', 'puzun', 'buzun', 'uspun']","['s', 'za.']",panza.
raka,"['řaka', 'raka']",['s'],"vagina, vulva."
rakiy,"['rakiy', 'řakiy']","['na.', 's']","división, parte, pedazo."
rakina,"['rakina', 'řakina']","['na.', 'v']","distribuir, dividir, repartir."
rakrayana,['řagrayana'],['v'],"resquebrajarse, agrietarse."
raku,"['raku', 'řaku']","['adj', 'tu.', 'v.']",grueso.
ransiw,"['ransiw', 'ransiyu', 'yansu']","['adj', 'na.']",extran- jero.
ranti,"['randi', 'řandi']","['adv', 'adv.', 'v.']","cambio de, reci- procidad."
rantipana,"['řandipana', 'řandibana', 'randi-\npana']","['na.', 's.', 'v', 'v.']","contestar, responder."
rapyana,['rapyana'],"['s.', 'v']",contraerse los múscu- los.
rasu,"['řasu', 'rasu']","['lo.', 's']","nieve, hielo."
rasuna,"['řasuna', 'rasuna']","['v', 'var.']",nevar.
rawa,['řawa'],"['co.', 'sc.', 'v']",urco.
rawana,['řawana'],"['na.', 's.', 'sc.', 'v']",Hacer surcos.
rawchana,['řawčana'],"['na.', 'tu.', 'v']",desramar.
rawmana,['řawmana'],"['im.', 'na.', 'v']","gullarse, reme- llarse."
rawrana,"['řawrana', 'rawrana', 'lawrana']","['na.', 's.', 'v']",119  RAYMI arder.
rikchak,"['řixčak', 'řigčak']","['adj', 'na.', 's.', 'v.', 'za.']","idéntico, igual, semejanza."
rikra,"['řigra', 'řikra']","['s', 'v.']",brazo.
rikuchina,['řikučina'],['v'],"mostrar, indicar, se- ñalar, hacer ver, devolver la vista."
rikurina,['řikurina'],"['na.', 'v', 'v.', 'var.']","somarse, aparecerse, presentarse."
rimanakuna,['řimanakuna'],"['v', 'v.']",dialogar.
rimay,"['řimay', 'rimay']","['s', 's.']","palabra, expresión."
rinri,"['řiŋri', 'řinři', 'iŋri', 'řiŋgri', 'niŋgri', 'rinrin']","['s', 's.']","oído, oreja."
rirpu,"['řirpu', 'irpu', 'lirpu']",['s'],espejo.
riti,['riti'],"['lo.', 's']","nieve, hielo."
riti,['(<**plutón)'],['s'],Intipa ayllumanta puchu- kaypi tiyak rumpu.
rina,"['řina', 'rina']",['v'],"ir, viajar."
ruku,"['řuku', 'ruku']","['adj', 'amz.', 'na.']","viejo, anciano."
rumi,"['řumi', 'rumi']","['ca.', 's']","piedra, roca."
rumikuta,['rumikuta'],"['s', 's.', 'v.']",cemento.
runa,"['řuna', 'runa']","['na.', 's']",ser humano; persona.
runakay,['runakay'],['s'],humanidad.
runtu,"['řuŋdu', 'ruŋdu']",['s'],granizo.
runtuna,"['řuŋduna', 'ruŋduna']","['s.', 'v', 'v.']",granizar.
rupay,"['řupay', 'rupay']","['or.', 's']",calor.
rurana,"['řurana', 'rurana', 'řana', 'ruwana']","['na.', 's.', 'v']","hacer, realizar, trabajar."
ruru,['ruru'],"['na.', 's']","pepa, semilla."
rutuna,"['řutuna', 'rutuna']","['lo.', 'v']","trasquilar, corte de cabello."
ruwana,"['ruwana', 'ruana']","['na.', 's']",tipo de poncho.
sacha,['sača'],"['pa.', 's']","monte, maleza, bos¬que."
sacha,['sača'],['adj'],salvaje; silvestre; medio- cre.
sacharuna,['sačaruna'],"['na.', 's', 's.']",variedad de lagartija.
sakina,['sakina'],"['na.', 'v']","dejar; abandonar, dejar en testamento."
saklana,"['saglana', 'saklana']","['na.', 'v']",deshojar el maíz.
sakra,"['sagra', 'šagra', 'tsaka', 'tsagra', 'zagra']","['adj', 'za.']","tosco, áspero, escabroso."
sakra,"['sagra', 'šagra', 'tsagra']","['amz.', 'na.', 's']","brujo, curandero."
saksana,"['saksana', 'saxsana', 'sagsana']","['na.', 'v']",hartarse.
salamanka,"['salamaŋga', 'tsalaŋga']","['na.', 's']",brujo.
salinana,['salinana'],"['lo.', 'na.', 'v']",estar en celo.
sallka,"['salyka', 'salka']","['na.', 's', 's.']","ierra, páramo."
samarina,['samarina'],"['na.', 'v']","calmarse, cesarse."
samay,"['samay', 'samiy', 'sami']","['na.', 's', 's.', 'v.']","respiración, aire, aliento."
