word,variant_forms,abreviaturas,translation_value
pushinshi,['pušiŋši'],"['amz.', 's', 's.']",hormiga conga.
pusku,"['pusku', 'putsuxu']",['s'],"espuma; fer- mento, levadura."
puskuna,['puskuna'],"['pi.', 's.', 'v', 'v.', 'za.']",hacer espuma.
putasyana,"['putasyana', 'putusyana']","['amz.', 'na.', 'v']","sc, amz."
putsa,['phutsa'],"['bo.', 'na.', 's', 'sc.']",racimo pequeño.
putsu,['putsu'],"['adj.', 'co.', 'na.', 's', 's.', 'sn.']",hierba espinosa.
putu,['putu'],"['amz.', 'bo.', 's']",ceibo.
putukulu,['putukulu'],"['amz.', 's', 'tu.']",renacuajo.
puy,['puy'],"['amz.', 's', 'tu.']",variedad de sapo.
puyu,"['puyu', 'phuyu', 'fuyu']","['na.', 's']","ube, niebla, ne- blina."
puzu,"['puzu', 'pusu']","['adj', 'adj.', 's.']","color gris, blanco y negro jaspeado."
puzun,"['pusun', 'puzun', 'buzun', 'uspun']","['s', 'za.']",panza.
puñu,"['puñu', 'puyñu']","['s', 's.', 'v.']",cántaro de una oreja; pondo.
raka,"['řaka', 'raka']",['s'],"vagina, vulva."
rakina,"['rakina', 'řakina']","['na.', 'v']","distribuir, dividir, repartir."
rakiy,"['rakiy', 'řakiy']","['na.', 's']","división, parte, pedazo."
rakrayana,['řagrayana'],['v'],"resquebrajarse, agrietarse."
raku,"['raku', 'řaku']","['adj', 'tu.', 'v.']",grueso.
ransiw,"['ransiw', 'ransiyu', 'yansu']","['adj', 'na.']",extran- jero.
ranti,"['randi', 'řandi']","['adv', 'adv.', 'v.']","cambio de, reci- procidad."
rantipana,"['řandipana', 'řandibana', 'randi-\npana']","['na.', 's.', 'v', 'v.']","contestar, responder."
rapyana,['rapyana'],"['s.', 'v']",contraerse los múscu- los.
rasu,"['řasu', 'rasu']","['lo.', 's']","nieve, hielo."
rasuna,"['řasuna', 'rasuna']","['v', 'var.']",nevar.
rawa,['řawa'],"['co.', 'sc.', 'v']",urco.
rawana,['řawana'],"['na.', 's.', 'sc.', 'v']",Hacer surcos.
rawchana,['řawčana'],"['na.', 'tu.', 'v']",desramar.
rawmana,['řawmana'],"['im.', 'na.', 'v']","gullarse, reme- llarse."
rawrana,"['řawrana', 'rawrana', 'lawrana']","['na.', 's.', 'v']",119  RAYMI arder.
rikchak,"['řixčak', 'řigčak']","['adj', 'na.', 's.', 'v.', 'za.']","idéntico, igual, semejanza."
rikra,"['řigra', 'řikra']","['s', 'v.']",brazo.
rikuchina,['řikučina'],['v'],"mostrar, indicar, se- ñalar, hacer ver, devolver la vista."
rikurina,['řikurina'],"['na.', 'v', 'v.', 'var.']","somarse, aparecerse, presentarse."
rimanakuna,['řimanakuna'],"['v', 'v.']",dialogar.
rimay,"['řimay', 'rimay']","['s', 's.']","palabra, expresión."
rina,"['řina', 'rina']",['v'],"ir, viajar."
rinri,"['řiŋri', 'řinři', 'iŋri', 'řiŋgri', 'niŋgri', 'rinrin']","['s', 's.']","oído, oreja."
rirpu,"['řirpu', 'irpu', 'lirpu']",['s'],espejo.
riti,['riti'],"['lo.', 's']","nieve, hielo."
ruku,"['řuku', 'ruku']","['adj', 'amz.', 'na.']","viejo, anciano."
rumi,"['řumi', 'rumi']","['ca.', 's']","piedra, roca."
rumikuta,['rumikuta'],"['s', 's.', 'v.']",cemento.
runa,"['řuna', 'runa']","['na.', 's']",ser humano; persona.
runakay,['runakay'],['s'],humanidad.
runtu,"['řuŋdu', 'ruŋdu']",['s'],granizo.
runtuna,"['řuŋduna', 'ruŋduna']","['s.', 'v', 'v.']",granizar.
rupay,"['řupay', 'rupay']","['or.', 's']",calor.
rurana,"['řurana', 'rurana', 'řana', 'ruwana']","['na.', 's.', 'v']","hacer, realizar, trabajar."
ruru,['ruru'],"['na.', 's']","pepa, semilla."
rutuna,"['řutuna', 'rutuna']","['lo.', 'v']","trasquilar, corte de cabello."
ruwana,"['ruwana', 'ruana']","['na.', 's']",tipo de poncho.
sacha,['sača'],"['pa.', 's']","monte, maleza, bos¬que."
sacharuna,['sačaruna'],"['na.', 's', 's.']",variedad de lagartija.
sakina,['sakina'],"['na.', 'v']","dejar; abandonar, dejar en testamento."
saklana,"['saglana', 'saklana']","['na.', 'v']",deshojar el maíz.
sakra,"['sagra', 'šagra', 'tsaka', 'tsagra', 'zagra']","['adj', 'za.']","tosco, áspero, escabroso."
saksana,"['saksana', 'saxsana', 'sagsana']","['na.', 'v']",hartarse.
salamanka,"['salamaŋga', 'tsalaŋga']","['na.', 's']",brujo.
salinana,['salinana'],"['lo.', 'na.', 'v']",estar en celo.
sallka,"['salyka', 'salka']","['na.', 's', 's.']","ierra, páramo."
samarina,['samarina'],"['na.', 'v']","calmarse, cesarse."
samay,"['samay', 'samiy', 'sami']","['na.', 's', 's.', 'v.']","respiración, aire, aliento."
