word,variant_forms,abreviaturas,translation_value
almayari,['almayari'],['s'],amz.
amakulu,"['amagulu', 'amalu']",['s'],sn.
amankay,"['amankay', 'amankaya']",['s'],"lirio, azucena."
amaru,"['amaru', 'amarun']",['s'],boa.
amatak,['amatak'],['adv'],sn.
amawta,"['amauta', 'amawtax']",['s'],"sabio, cien- tífico del incario."
amina,['amina'],['v'],"hastiar, empalagar, hartar."
aminta,['amiŋda'],['adj'],sn.
ampuku,['aŋbuku'],['interj'],expresión que de- nota ironía (no friegues).
amullina,"['amulyina', 'amužina', 'amulina']",['v'],engullir; traer algo en la boca.
ana,['ana'],['s'],lunar.
anak,['anak'],['adj'],duro.
anaku,['anaku'],['s'],"saya, falda."
ananas,"['ananas', 'anunas']",['s'],amz.
anchayana,['aŋchayana'],['v'],s.
anchurina,['aŋčuna'],['v'],"retirarse, apartarse, quitarse."
ankara,['aŋgara'],['s'],snc.
anku,['aŋgu'],['s'],"vena, arteria; raíz."
ankulla,"['aŋgulya', 'aŋguža', 'angura']",['adj'],cau- choso; enserenado.
anta,['aŋta'],['s'],"cobre, meta; fierrol."
antawa,"['aŋtawa', 'antawiwa']",['s'],"carro, vehì- culo."
anti,"['aŋti', 'andi']",['s'],"regiòn oriental; oriente, este."
antuchi,['aŋduči'],['s'],amz.
apachi,['apači'],['s'],"carga, maleta."
apachina,['apačina'],['v'],hacer cargar.
apamuna,['apamuna'],['v'],traer.
apapa,['apapa'],['s'],amz.
aparina,['aparina'],['s'],manta para cargar.
apay,['apay'],['s'],"paquete, bulto."
apichu,['apiču'],['s'],camote.
apiw,"['apiw', 'apyu', 'abiu']",['s'],caballo.
apiyana,['apiyana'],['v'],suavizarse.
apu,"['apu', 'apux', 'apug', 'apuk']",['s'],"jefe, sobe- rano, autoridad."
apunchik,"['apunčik', 'apunči']",['s'],nuestro dios; Jesús.
ara,['ara'],['s'],sc.
araw,['araw'],['s'],amz.
arawikuk,"['arawik', 'arawikuk']",['adj'],poeta.
ari,['ari'],['adv'],si.
arina,['arina'],['v'],estrenar; impermeabilizar.
armana,['armana'],['v'],bañar.
ashalla,"['ašalya', 'ašala']",['adv'],muy poquito.
ashi,['aši'],['adj'],s.
ashnak,"['ašnax', 'asna', 'ašnak', 'asnak', 'ašnag', 'asnag']",['adj'],oloroso (agradable o desa- gradable).
ashnana,"['ašnana', 'asnana']",['v'],oler.
ashtana,"['aštana', 'astana']",['v'],"acarrear, tras- ladar, transportar."
asina,['asina'],['v'],"reir, burlar."
aspi,['aspi'],['s'],raya.
aspina,['aspina'],['v'],"raspar, arañar, escarbar, rascar, firmar."
aswa,"['aswa', 'asa', 'asuwa']",['s'],chicha.
atakapi,['atakapi'],['s'],variedad de boa gi- gante.
ataku,['ataku'],['s'],ss.
atallpa,"['atalypa', 'atalpa', 'atažpa', 'atawallpa', 'atapa', 'ataba', 'atiža', 'atilpa', 'atilba', 'atilypa', 'atulba', 'atil']",['s'],snc.
atatay,['atatay'],['interj'],expresión que denota asco.
añanku,"['añaŋgu', 'añiŋgu']",['s'],hormiga.
añas,"['añas', 'añaŋgu', 'añiŋgu']",['s'],zorrillo.
