word,variant_forms,abreviaturas,translation_value
supi,['supi'],['s'],pedo. Sikimanta llukshik samay. Chirimanta wiksa punkishpaka supita kacha- rinchik.
supina,['supina'],['s'],peer. Supita llukshichiy. Chawa mikukpika supinllami.
surkan,['surkan'],['s'],"pulmón. Kawsakkuna- man samayta chaskik. Surkanpi chiri ama yaykuchunka washata al- litapacha killpanchik. Sin. paruk, yurak shunku."
surkuna,"['surkuna', 'surkona']",['v'],sacar. Hutku ukumanta imatapash pakllaman aysay. Mankamanta yanushka papata surkunchik. Sin. Llukshichina.
suru,['suru'],['s'],"variedad de carrizo. Yaku kucha manyakunapi wiñak suni pankayuk kiwa. Suruwan kawitupi churankapak ruranchik. susu [susu] s. polilla. Kaspita, churanata, murukunata mikushpa ismuchik uchilla wiwa. Sara wakaychishkataka susuka tukuytami mikushka."
susuna,['susuna'],['v'],"apolillarse. Murukuna, kaspikunapash, kuruyashpa hutkuriy, ismu- riy. Mana utka mikukpi saraka susun. Sin. Kuruyana."
sutukyana,"['sutukyana', 'zutuxyana', 'zutug- yana']",['v'],"sc. humedecerse, mojarse; gotear. Yakuwan hawa hawalla hukuy. Armashka kipa umaka sutukyan. Sin. hukuna, mutiyana."
suyu,['suyu'],['s'],"región. Imashinapash shuk mamallaktata, imakunamantapash rakishka. Ecuador mamallaktaka Yunka suyu, Puna suyu Anti suyupi, Yawati suyupimi rakishka kan."
