word,variant_forms,abreviaturas,translation_value
shukkuna,['šux'],['s'],unidades.
shuklla,"['šuklya', 'šukža']",['adj'],único.
shulla,['šulya'],['s'],"rocío, escarcha."
shullana,"['šulyana', 'šužana']",['v'],caer el rocío.
shulluy,"['šulyuy', 'šužuy']",['s'],aborto.
shunku,"['šungu', 'šungo', 'sunko']",['s'],corazón.
shunkuchina,['šunkučina'],['v'],curar del es- panto.
shunkuna,['šuŋguna'],['v'],amz.
shunkuy,['šuŋguy'],['v'],s.
shunkuyuk,['šunguyuk'],['adj'],"adulto, pen- sante."
shushuna,['šušuna'],['s'],cedazo.
shuti,['šuti'],['s'],nombre.
shutu,['šutu'],['s'],gota.
shutuna,['šutuna'],['v'],"filtrar, gotear, chorrear."
shuturina,['šuturina'],['v'],mojarse.
shuyana,['šuyana'],['v'],"esperar,  aguardar."
shuyuna,['šuyuna'],['v'],manchar.
takallina,"['takalyna', 'taxažina', 'taxalina']",['v'],s.
takana,['takana'],['v'],"machacar, pedacear, martillar."
takarina,['takarina'],['v'],"rozarse, golpearse, tropezarse."
takarpu,['takarpu'],['s'],estaca; clavo.
taki,['taki'],['s'],"canción, pieza musical."
takina,['takina'],['v'],entonar un instrumento musical.
taklla,['taxlya'],['s'],arado.
takllana,['taxlyana'],['v'],amz.
takllu,['taxlyu'],['adj'],tartamudo.
takshana,"['taxšana', 'tagšana', 'taxsana']",['v'],lavar ropa.
taktarina,['taxtarina'],['v'],ss.
takyarina,['taxyarina'],['v'],bo.
tallika,['talyiga'],"['s', 'collar de pepas']","Muyuku- nawan, tullukunawan, millmakunawan rurashka aparina wallka."
tallirina,"['talyirina', 'tažirina']",['v'],sc.
talpa,['talpa'],['s'],ss.
tani,"['tani', 'tañi']",['adj'],sc.
tankana,['taŋgana'],['s'],amz.
tanla,['tanla'],['s'],amz.
tanta,['taŋda'],['s'],pan.
tantachiy,['taŋdačiy'],['s'],"agrupación, unión."
tantana,['taŋdana'],['v'],"recolectar, recoger, juntar."
tantanakuy,['taŋdanakuy'],['s'],"reunión, asamblea, congreso."
tapsa,['tapsa'],['s'],pico de aves.
tapuna,['tapuna'],['v'],"preguntar, averiguar, in- terrogar."
tapya,['tapya'],['s'],amz.
tapyana,['tabyana'],['v'],"sc, amz."
taraputu,['taraputu'],['s'],amz.
tarina,['tarina'],['v'],"encontrar, hallar."
taripay,['taripay'],['s'],examen.
taruka,"['taruka', 'taruga']",['s'],venado.
taski,['taski'],['s'],ss.
taslla,['taslya'],['adj'],amz.
tatki,"['tatki', 'taxti', 'tiyaxti']",['s'],paso.
tawa,['tawa'],['num'],cuatro.
tawka,['tawka'],['det'],"algunos, bastante."
tawna,['tawna'],['s'],bastón.
tawnana,['tawnana'],['v'],"apoyar en el bastón, apuntalar."
taznu,['taznu'],['s'],s.
tika,"['th ika', 'tika']",['s'],adobe.
tikayana,['tikayana'],['v'],ss.
tiklla,"['tixlya', 'tixža']",['s'],snc.
tikrachina,['tigračina'],['v'],"contestar, respon- der; traducir."
tikramuna,['tigramuna'],['v'],"retornar, regre- sar, volver."
tikrana,['tigrana'],['v'],"volver, regresar, retor- nar."
tiksimuyu,['tigsimuyu'],['s'],planeta tierra.
tiksimuyuyachay,['tiskimuyuyačay'],['s'],geografía.
tikta,['tixta'],['s'],amz.
tikti,['tixti'],['s'],s.
tillimanku,['tilyimaŋgu'],['s'],amz.
tillimpu,['tilyimbu'],['s'],amz.
timpuna,"['timbuna', 'tiŋbuna']",['v'],"hervir, borbo- tear, fermentarse."
tinkana,['tiŋgana'],['v'],papirotear.
tinki,['tinki'],['s'],sábado.
tinkula,['tiŋgula'],['s'],amz.
tinkullpa,['tinkulypa'],['s'],planeta urano.
tinkuna,['tiŋguna'],['v'],ss.
tipina,['tipina'],['s'],herramienta para deshojar (el maíz en las cosechas).
titi,"['th iti', 'titi']",['s'],plomo.
tiwinkulu,"['tiwinkulu', 'tiuwiŋkulyu']",['s'],amz.
tiyamshi,"['tyamši', 'tanši']",['s'],amz.
tiyarina,"['tiyarina', 'tyarina']",['s'],"banco, silla, asiento."
tiyarpa,"['thyarpa', 'thyapa']",['adj'],tartamudo.
tiyaskan,['tiyaskan'],['s'],"sitio, lugar."
tiyatina,['tiyatina'],['s'],amz.
tiyu,"['tiyu', 'thiu', 'tiu']",['s'],arena fina.
tiyunkullina,"['tiuŋgulyina', 'tiuŋgužina', 'thiuŋžina', 'tiyunkurina']",['v'],sn.
tiyunti,"['tiuŋdi', 'tiuŋdi', 'tindi']",['s'],amz.
tuka,"['tuka', 'thiuka', 'tiyuka', 'tiwka', 'čuka']",['s'],sa- liva.
tukana,"['tukana', 'thiukana', 'tiyukana']",['v'],"es- cupir, salivar."
tukilu,"['tukilu', 'tugilu']",['s'],amz.
