word,variant_forms,abreviaturas,translation_value
hanak,"['xanax', 'anax', 'xana', 'xanan', 'ana']",['adv'],"arriba, encima, alto, parte superior, elevado."
hankana,"['xaŋkana', 'aŋgana', 'xaŋgana']",['v'],cojear.
hapina,"['xapina', 'apina']",['v'],"coger, apresar, asir Imatapash makiwan chariy."
hapiyu,"['xapiyu', 'apiyu', 'xawiyu', 'awiyu']",['s'],amz.
harkana,"['xarkana', 'arkana']",['v'],"atajar, obsta- culizar, detener, estorbar."
harkashka,['xarkaška'],['s'],amz.
harnina,['xarnina'],['v'],roncar.
hatun,"['xatuŋ', 'atuŋ']",['adj'],"inmenso, amplio."
hatunmama,['xatunmama'],['s'],abuela.
hatunyaya,['xatunyaya'],['s'],abuelo.
haw,"['xaw', 'xa']",['interj'],"¿qué dijo? ¿qué? ¿per- dón? ¿cómo? Imatak nirkanki nishpa kutintak tapuy, mana kashpaka imatak ninki? niy."
hawa,"['xawa', 'awa']",['adv'],"arriba, alto, afuera."
hawalla,['xawalya'],['adv'],superficial; suave- cito.
hawcha,"['xawča', 'xawtsa', 'xawtza']",['s'],snc.
hawina,"['xawina', 'awina', 'xabina', 'kawina', 'ča- wina']",['v'],manchar.
hawriyana,['xawriyana'],['v'],sc.
hawya,"['xawya', 'awya']",['s'],amz.
hay,['xay'],['interj'],sn.
hayak,"['xayak', 'xayax', 'xayag', 'xaya', 'ayax']",['adj'],amargo.
hayakin,['kayakin'],['s'],bilis.
hayampi,"['xayambi', 'xayaŋbi', 'ayambi', 'ayaŋbi']","['s', 'amz']",iguana.
haycha,['xayča'],['s'],canción triunfal de la co- secha o de la guerra.
hayka,['hayka'],['adv'],ss.
haylli,['xaylyi'],['s'],canción triunfal de la cose- cha o de la guerra; viva.
haynallina,['xaynažina'],['v'],ss.
hayñina,"['<*xayñina', 'xayniyna v. s. rezon- gar', 'responder. Imamantapash piñarishpa kutichina.\nWakinka millayrayku piñalla tukushpa hay- ñinmi.\nhayri (<**xayri) s. minuto. Sukta chunka\nuchilla pacha kak.\nMurayka sukta chunka hayriyukmi kan. haytana [xaytay', 'aytay']",['v'],"patear, cocear, pisar el arado."
hichana,"['xičana', 'ičana']",['v'],"botar, regar, es- parcir, derramar."
hiki,"['xiki', 'xixi', 'ixi']",['s'],amz.
hikiñas,"['xixiñas', 'ixiñas']",['s'],amz.
hillay,"['xilyay', 'kilyay']",['s'],"hierro, herramienta, instrumento."
hilli,['xilyi'],['s'],"caldo, jugo, zumo; savia."
hillu,"['xilyux', 'xižux', 'xižug', 'xilyu', 'xižu']",['adj'],go- loso.
hipana,['xipana'],['v'],sc.
hita,['xita'],['s'],amz.
hucha,['xuča'],['s'],"culpa, pecado, falta."
huchu,['xuču'],['s'],sc.
huka,['xuka'],['s'],sc.
hukana,"['xukana', 'hunkana']",['v'],sc.
hukipuna,"['xuxipuna', 'uxipuna']",['v'],amz.
huklluyana,['xuxlyuyana'],['v'],amz.
huku,['xuku'],['adj'],"húmedo, mojado."
hullu,['xužu'],['adj'],sc.
hulun,['xulun'],['s'],amz.
hulunchi,['xuluŋči'],['s'],amz.
humpi,"['xumbi', 'xuŋbi', 'umbi', 'uŋbi']",['s'],"sudor, transpiración."
humpina,"['xumbina', 'xuŋbina', 'umbina', 'uŋ-\nbina']",['v'],"sudar, transpirar."
hunu,['<*xuŋu'],['num'],diez mil.
hupi,['xupi'],['adj'],sn.
hutku,"['xutku', 'xuktu', 'uktu', 'uxtu', 'ugtu', 'utuxu', 'utuču']",['s'],"hueco, hoyo, agujero, cueva."
huwin,['xuwiŋ'],['s'],amz.
icha,['iča'],['adv'],ss.
ichapash,['ičapaš'],['adv'],ss.
ichillu,['ičilyu'],['s'],amz.
ichu,['iču'],['adj'],"rápido, apurado, ligero."
ichuk,['ičuk'],['adv'],lado izquierdo.
ichuna,['ičuna'],['s'],hoz.
ikina,['ikina'],['v'],"partir, fraccionar, picar, cortar en pedazos, rozar, agrietar, rajar, rebanar, abrir, separar; copular, fornicar."
illak,['ilyak'],['det'],"cero, vacío."
illakta,"['ilyaxta', 'ižaxta', 'ižixta', 'ižakta', 'ilyagta', 'ižagta']",['adv'],absolutamente todo.
illana,"['ilyana', 'ižana']",['v'],"faltar, no existir, via- jar, ausentarse Imapash mana tiyay."
illapa,['ilyapa'],['s'],escopeta.
ilta,['ilta'],['s'],amz.
ima,['ima'],['det'],¿qué? Tapunkapak shimi.
imashnaray,"['imašnaray', 'imanaray']",['exp'],amz.
imashti,['imašti'],['exp'],muletilla.
impayana,"['imbayana', 'iŋbayana']",['v'],estar deprimido física y espiritualmente.
inka,"['iŋga', 'iŋka']",['s'],"emperador, rey, suprema autoridad."
inlli,['iŋlyi'],['adj'],amz.
