word,variant_forms,abreviaturas,translation_value
kana,"['kana', 'xana', 'ay']",['v'],"ser, estar."
kasku,['kasku'],['s'],pecho.
kaspa,['kaspa'],['s'],s.
kaspana,['kaspana'],['v'],s.
kaspi,['kaspi'],['s'],palo.
kastilla,"['kastilya', 'kaštilya']",['adj'],"España, de Castilla."
katana,"['katana', 'khatana', 'xatana']",['v'],"cobijar, cubrir."
katina,['katina'],['v'],seguir.
katsu,"['katsu', 'kazu', 'xatsu']",['s'],"sn, sc."
katu,['katu'],['s'],amz.
katuna,"['katuna', 'xatuna', 'khatuna']",['v'],snc.
katuwasi,"['katuwasi', 'xatukwasi']",['s'],"alma- cén, tienda."
kaw,['kaw'],['adj'],choclo bien maduro.
kawana,['kawana'],['v'],"mirar, observar con detenimiento."
kawchu,['kawču'],['s'],"piola, soguilla."
kawchuna,['kawčuna'],['v'],torcer.
kawina,"['kawina', 'xawina', 'kabina']",['s'],amz.
kawka,['kawka'],['adj'],s.
kawlla,['kawlya'],['adv'],amz.
kawllarina,['kawlyarina'],['v'],s.
kawpi,['gawpi'],['s'],amz.
kawsak,['kawsak'],['s'],"ser vivo, viviente."
kawtayana,['kawtayana'],['v'],amz.
kay,['kay'],['pron'],"este, esta, esto."
kaya,['kaya'],['adv'],"mañana, el día siguiente."
kayana,['kayana'],['v'],llamar.
kayantin,['kayantin'],['adv'],Kayapa washa punchami kan.
kayas,['gayas'],['s'],amz.
kayllayana,"['kaylyayana', 'kayžayana']",['v'],"snc, amz."
kayna,"['kayna', 'khayna', 'xayna']",['adv'],ayer.
kaytu,['kaytu'],['s'],hebra de hilo.
kazuk,"['khazux', 'kazux']",['adj'],sc.
kicha,"['kiča', 'xiča']",['s'],diarrea.
kichki,"['kički', 'kiški', 'kičixi', 'kiski']",['adj'],"estrecho, angosto, tupido."
kichuna,"['kičuna', 'ičuna', 'hičuna']",['v'],"quitar,   arrebatar."
kiki,['kiki'],['s'],choclo en formación.
kikin,['kikiŋ'],['pron'],usted.
kila,['kila'],['s'],amz.
kilampu,"['kilampu', 'kilambu']",['s'],amz.
killa,"['kilya', 'kiža', 'khiža']",['adj'],"ocioso, vago."
killimsa,['kilyimsa'],['s'],carbón.
killin,['kilyin'],['adj'],"terreno duro, estéril, erosio-     nado."
killka,"['kilyka', 'kiška', 'kilka']",['s'],letra.
killkana,['kilykana'],['v'],escribir.
killpuntu,['kilpuŋdu'],['s'],amz.
killu,"['kilyu', 'kižu']",['s'],amarillo.
kimina,['kimina'],['v'],"acercar, arrimar, apegar; reforzar, sostener lo que está por caerse."
kimirina,['kimirina'],['v'],acercarse.
kimsa,"['kimsa', 'kiŋsa']",['num'],tres.
kincha,"['kiŋča', 'kimča', 'kinža']",['s'],"corral, cerco."
kinchana,"['kiŋčana', 'kiŋžana']",['v'],hacer un co- rral o cerca.
kinku,['kiŋku'],['adj'],"zig-zag, curva, sinuosi- dad."
kinkuna,['kiŋkuna'],['v'],"curvar, ir en zig-zag."
kinray,"['kinray', 'kiŋgray']",['adv'],horizontal- mente.
kinti,"['kinti', 'kiŋdi']",['s'],colibrí.
kinzhullina,['kinzhullina'],"['v', 's']",guardar algo en la cintura.
kipa,"['kipa', 'khipa', 'xipa']",['adv'],"después, a con- tinuación, seguidamente."
kipi,['kipi'],['s'],"maleta, bulto, fardo."
kipu,['kipu'],['s'],"nudo, sistema de comunica- ción; archivo y administración incásica."
kipuna,['kipuna'],['v'],escribir en nudos.
kiru,"['kiru', 'kero']",['s'],palo que nace del cabuyo.
kiruyana,['kiruyana'],['v'],brotar lo sembrado.
kiruyuk,['kiruyux'],['s'],amz.
kisha,['kiša'],['s'],nido.
kishpichina,['kišpičina'],['v'],"perdonar, discul- par, salvar, excusar, dispensar, librar, liberar."
kishpirina,['kišpirina'],['v'],"salvarse, liberarse."
kita,"['xita', 'kita']",['adj'],"arisco, indómito."
kiti,['kiti'],['s'],cantón.
kitiwpi,"['kitiwpi', 'kityupi']",['s'],amz.
kitu,['kitu'],['s'],tu.
