word,variant_forms,abreviaturas,translation_value
atina,['atiy'],['v'],"vencer, poder, sobresalir."
atsikyana,"['atsikyana', 'atsiyana']",['v'],estornu- dar.
atuk,"['atux', 'atug', 'atuk', 'atu']",['s'],S.
atyak,"['atyak', 'atyag', 'atiax']",['s'],babosa.
awana,['awana'],['v'],tejer.
awanakaspi,['awanakaspi'],['s'],s.
awinchina,"['awinčina', 'awinžina']",['v'],ss.
awka,"['awka', 'awkak']",['adj'],"guerrero, militar, soldado."
awki,['auki'],['adj'],"príncipe, persona noble; sa- cerdote; divinidad."
awkish,['aukiš'],['s'],comida ritual de los fune- rales.
awlakanu,"['awlaxanu', 'alwaxanu', 'alwakanu']",['s'],sc.
awllina,"['awlyina', 'awžina', 'alwina']",['v'],s.
aya,['aya'],['s'],cadáver.
ayampakuna,"['ayampakuna', 'ayumphakuna']",['v'],amz.
ayapampa,"['ayapamba', 'ayapampa']",['s'],"ce- menterio, panteón."
ayki,['ayki'],['s'],bo.
aykina,['aykina'],['v'],bo.
ayllu,"['aylyu', 'ayžu']",['s'],"familia, pariente, linaje, genealogía; sistema."
aysana,['aysana'],['v'],"halar, extender, estirar, deslizar, arrastrar."
chachina,['čačina'],"['v', 's']",sentarse los niños.
chakata,['čakata'],['s'],cruz.
chakchuna,"['čaxčuna', 'čakčuna', 'čagčuna']",['v'],s.
chaki,['čaki'],['s'],"pie, pata."
chakka,"['čaxa', 'čaga']",['s'],amz.
chaklla,"['čaglya', 'čagža']",['s'],s.
chakmana,"['čakmana', 'tsakmana']",['v'],bo.
chakra,"['čakra', 'čagra']",['s'],"sementera, chacra."
chakuk,['čakuk'],['s'],cazador.
chakukina,['čakukina'],['v'],emitir sonidos los cerdos al masticar.
chakuna,['čakuna'],['v'],ss.
challa,"['čalya', 'čala']",['s'],ss.
challana,"['čalyana', 'čalana']",['v'],ss.
challchina,['čalyčina'],['v'],sc.
challina,"['čalyina', 'čažina']",['v'],s.
challun,"['čalyun', 'čalun']",['s'],amz.
challwa,"['čalywa', 'čazwa', 'čalua', 'čawla']",['s'],"pescado, variedad de pez bocachico."
chamcha,"['čamča', 'čamža', 'čaŋžu', 'čaŋču']",['adj'],sc.
chamiku,['čamiku'],['s'],s.
chamka,"['čamka', 'čanka']",['adj'],mal molido.
champa,"['čampa', 'čamba', 'čaŋba', 'žaŋba']",['s'],s.
champayana,"['čambayana', 'čaŋbayana', 'šaŋbayana']",['v'],sc.
champira,['čambira'],['s'],chambira.
champuru,['čamburu'],['s'],chamburo.
chamuk,"['čamuk', 'čamux', 'čamug', 'xamun', 'čama', 'čamak']",['adj'],"insípido, desabrido, soso."
chani,['čani'],['s'],"precio, valor."
